RefDes;Footprint;Location X;Location Y;Layer;Rotation;Comment
;;;;;;
BT1;DIP;19.0500mm;10.5410mm;B;180.0000;cr2032 holder
SW1;SMD,7.2x3.5x2.5mm;4.5720mm;16.6370mm;B;270.0000;switch_ms-22c01
C1;C0402;17.2720mm;9.5250mm;T;270.0000;100n
C2;C0402;16.2560mm;9.5250mm;T;270.0000;1u
D1;SOT-23(SOT-23-3);12.7000mm;5.7150mm;T;180.0000;BAT54C
DD1;TSSOP-20;21.5900mm;8.8900mm;T;0;STM32G030F6P6TR
Q1;SOT-23(SOT-23-3);16.0020mm;6.6040mm;T;180.0000;SI2302
Q2;SOT-23(SOT-23-3);13.5890mm;2.4130mm;T;90.0000;SI2302
R1;R0402;14.3510mm;9.5250mm;T;270.0000;10kΩ
R2;R0805;26.4160mm;10.1600mm;T;270.0000;510Ω
R3;R0805;19.4310mm;4.4450mm;T;0;200Ω
R4;R0805;12.7000mm;9.1440mm;T;270.0000;10MΩ
